S.No.,Organisation Name,Tender Count,Portal URL,Retrieved At
40,Madhya Pradesh Power Generating Company Limited,258,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
41,Madhya Pradesh Power Management Company Limited-Jabalpur,4,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
42,Madhya Pradesh Public Health Services Corporation Ltd.,18,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
43,Madhya Pradesh Rajya Van Vikas Nigam Ltd.,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
44,Madhya Pradesh Road Development Corporation Limited,45,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
45,Madhya Pradesh Rural Road Development Authority,311,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
46,Madhya Pradesh State Electronics Development Corporation Ltd.,4,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
47,Madhya Pradesh State Mining Corporation Ltd,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
48,Madhya Pradesh State Seeds and Farm Development Corporation,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
49,Madhya Pradesh Urban Development Company Limited - MDB Tenders,6,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
50,Madhya Pradesh Yatri Parivahan and Infrastructure Ltd.,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
51,Minor Forest Produce Processing and Research Center,3,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
52,M.P. Building Development Corporation Ltd. Bhopal,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
53,MP Forest Department,85,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
54,M.P. Hindi Granth Academy - MPHGA,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
55,MP Housing and Infrastructure Development Board,4,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
56,MP Industrial Development Corporation Limited,20,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
57,MP Laghu Udyog Nigam Ltd,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
58,MP Police,30,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
59,MP Police Housing and Infrastructure Development Corporation Ltd,47,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
60,MP Power Transmission Co. Ltd.,35,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
61,M P Rajya Sahakari Bank Maryadit - Bhopal,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
62,MP State Agricultural Marketing Board,88,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
63,MP State Agro Industries Corporation Limited,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
64,MP State Civil Supplies Corporation Limited,47,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
65,MP State Cooperative Dairy Federation,8,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
66,MP State Co-Operative Housing Federation Ltd,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
67,M. P. State Cooperative Union Ltd.- Bhopal,3,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
68,MP State Coperative Marketing Federation Ltd.,22,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
69,MP State Livestock and Poultry Development Corporation,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
70,M.P. State Open School Education Board,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
71,M.P.State Rural Livelihoods Mission,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
72,MP State Tourism Development Corporation Ltd.,14,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
73,M.P. Textbook Corporation - Bhopal,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
74,M.P. Tourism Board,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
75,M P Vidhan Sabha,3,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
76,Nanaji Deshmukh Veterinary Science University,4,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
77,Narmada Valley Development Authority,45,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
78,NAVAL SINGH SAHAKARI SHAKKAR KARKHANA MARYADIT-BURHANPUR,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
79,Office of the Labour Commissioner Indore M P,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
80,Principal Revenue Commissioner,3,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
81,Professional Examination Board,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
82,Pt. Khushilal Sharma Government (Autonomous) Ayurveda College and Institute,5,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
83,PT. S.N. Shukla Unverversity Shehdol,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
84,Public Health Engineering- O/o Engineer In Chief,66,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
85,PWD-PIU,54,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
86,PWD- Roads and Bridges,439,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
87,Rani Durgavati Vishwavidyalaya - Jabalpur,3,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
88,Rewa Ultra Mega Solar Limited,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
89,Rural Engineering Service,58,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
90,Shri Omkareshwar Mandir Trust- Omkareshwar,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
91,State Level Employment and Training Center,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
92,THE CHIEF ELECTORAL OFFICER,4,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
93,Tribal Affairs Department-MP,6,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
94,Vikram University,3,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
